,importance
AVG_CORNERSHOMED1_L3,0.1131313294172287
AVG_CORNERSAWAY1_L3,0.03945491090416908
AVG_CORNERSAWAYD1_L5,0.03788493573665619
RANK_AWAYGLOBAL_L5,0.03260676935315132
GOALS_H,0.028789104893803596
AVG_CORNERSHOME1_L5,0.025186173617839813
AVG_CORNERSAWAYR2_L5,0.02491757646203041
NUM_SAVESHOME_L45,0.024301763623952866
AVG_CORNERSHOMER2_L5,0.022772058844566345
RANK_HOMELEAGUE_L5,0.022330928593873978
AVG_CORNERSAWAYD2_L5,0.022058937698602676
NUM_ATTACKSAWAY_L45,0.021990032866597176
AVG_CORNERSAWAYR2_L3,0.02142728678882122
AVG_CORNERSHOMED1_L5,0.020906340330839157
CAT_KMEANS_HOME_A,0.02077322266995907
CORNERS_DIV_DANGATTACKS,0.02021399885416031
AVG_CORNERSHOME1_L3,0.01965341344475746
POSESSION_HOME_L45,0.019597098231315613
NUM_TACKLEHOME_L45,0.01885492168366909
AVG_CORNERS_DRAW_HOME,0.018703455105423927
AVG_CORNERS_LOSE_HOME,0.01837395876646042
NUM_TACKLEAWAY_L45,0.017964093014597893
DIF_AVGCORNERSL5_AR_CURRENT,0.017309503629803658
AVG_CORNERSAWAYD2_L3,0.01671638712286949
AVG_CORNERSAWAYR1_L3,0.016637012362480164
NUM_FOULSHOME_L45,0.016620641574263573
LAST_MINUTECORNER_H_L60,0.0164320208132267
DIF_ODDS,0.016012199223041534
SUM_DANGATTACKS_L60,0.015913447365164757
DIF_GOALS_L60,0.015898607671260834
LAST_MINUTECORNER_L60,0.015514886938035488
AVG_CORNERS_DRAW_AWAY,0.015472879633307457
CORNERS_H,0.015300462022423744
SUM_SHOTS_L60,0.01477337721735239
DIF_SHOTS_L45,0.014268137514591217
CORNERS_DIV_SHOTS,0.014136402867734432
NUM_DANGATTACKSHOME_L45,0.013430305756628513
AVG_CORNERSHOMED2_L3,0.012930838391184807
NUM_ATTACKSHOME_L45,0.012721199542284012
AVG_CORNERSHOMED2_L5,0.01262660138309002
DIF_AVGCORNERSL5_HR_CURRENT,0.012104805558919907
NUM_SHOTSAWAY_L45,0.012092714197933674
NUM_SAVESAWAY_L45,0.011478724889457226
DIF_AVGCORNERSL5_AD_CURRENT,0.010851483792066574
RANK_HOMEGLOBAL_L5,0.010739519260823727
WIND,0.010331801138818264
AVG_CORNERSAWAYR1_L5,0.010287035256624222
LAST_MINUTECORNER_A_L60,0.009894224815070629
NUM_MATCHESHOME_POSITIVE_L5,0.009714503772556782
AVG_CORNERSAWAY1_L5,0.009546088054776192
ODDS_AWAY,0.008351859636604786
AVG_CORNERS_WIN_AWAY,0.0
LEAGUE_INGLATERRA,0.0
TOTAL_CORNERS,0.0
IS_FAVOURITE_DRAWING,0.0
AVG_CORNERSAWAYD1_L3,0.0
DIF_AVGCORNERSL5_HD_CURRENT,0.0
CAT_KMEANS_AWAY_B,0.0
AVG_CORNERSHOMER1_L3,0.0
ODDS_HOME,0.0
LEAGUE_ESPANA,0.0
CORNERS_A,0.0
DIF_CORNERS_L60,0.0
CAT_KMEANS_HOME_C,0.0
LEAGUE_ALEMANIA,0.0
GOALS_A,0.0
RANK_AWAYLEAGUE_L5,0.0
GOALS/DANGATTACKS_L45,0.0
IS_FAVOURITE_LOSING,0.0
AVG_CORNERSHOMER1_L5,0.0
LEAGUE_ITALIA,0.0
